Feature,Importance,Std
is_month_to_month_x_payment_method_electronic_check,0.36694612344892114,0.01655016694498183
Contract_numeric,0.27352281877087303,0.02252743245660308
Contract_numeric_inv,0.13408487198173297,0.01098331645221081
PaymentMethod_Electronic check_encoded,0.0658297658792962,0.0034485965184038216
tenure_years,0.01827758792178116,0.0010083856696610873
tenure_segment,0.015186144032760432,0.0009907113136850857
has_internet,0.014767265055519136,0.0005695461332555536
MonthlyCharges_x_Contract_numeric_FE,0.012807138374785924,0.0015138648069759099
PaperlessBilling_Yes_encoded,0.010551436582414388,0.00048632001835656843
tenure,0.00786214042262122,0.00024242656761105008
has_internet_x_StreamingTV_numeric_FE,0.0072210917809608045,0.00026148459990314043
MonthlyCharges,0.007213101882126445,0.0008318064775975454
has_internet_x_StreamingMovies_numeric_FE,0.0060020981483704505,0.00045656931851019086
OnlineSecurity_numeric,0.004344579617604672,0.00015321981631559862
PaymentMethod_Mailed check_encoded,0.004343816492215187,0.0002891415147921996
MultipleLines_numeric,0.0042725367111734695,0.00017565292384315076
Dependents_Yes_encoded,0.004031457627898553,0.0001397513612053872
has_internet_x_OnlineSecurity_numeric_FE,0.003947287877380127,0.00024758658437000583
SeniorCitizen_Dependents_Yes_FE,0.003906879295041846,0.0004252170031823798
StreamingTV_numeric,0.00380696151562709,0.0001753798918520714
tenure_Contract_numeric_ratio,0.0036642301503178668,7.154733902110333e-05
StreamingMovies_numeric,0.0036252731686412984,0.00024193872929283375
SeniorCitizen,0.0033611749393908396,0.0003134799725405106
TotalCharges_MonthlyCharges_x_Contract_numeric_FE_ratio,0.0033446481002643983,8.794435011786684e-05
SeniorCitizen_MonthlyCharges_FE,0.002597913358649873,0.00011867768227877809
TechSupport_numeric,0.002245713345261081,0.00017328489501888716
PhoneService_Yes_encoded,0.001792814942389517,6.696118746604208e-05
has_internet_x_TechSupport_numeric_FE,0.0017560936059439563,0.00012308354535331924
num_internet_services,0.0015092804791776563,4.63035929077003e-05
SeniorCitizen_Partner_Yes_FE,0.0012409055023729406,0.00018490923529563159
TotalCharges,0.0012358965841332275,3.886515110914415e-05
OnlineBackup_numeric,0.0011408169067506106,6.215514099920673e-05
has_internet_x_OnlineBackup_numeric_FE,0.0011099130444958577,4.4794986590299296e-05
DeviceProtection_numeric,0.0007374817382382537,7.442501959373463e-05
has_internet_x_DeviceProtection_numeric_FE,0.0006437989538794285,7.536824401695267e-05
PaymentMethod_Credit card (automatic)_encoded,0.00040762149078240684,3.633881929342368e-05
Partner_Yes_encoded,0.0003733693469707752,5.012542666645635e-05
gender_Male_encoded,0.00028795092323567485,1.205264926995294e-05
