Feature,Importance,Std
exam_difficulty,-0.059224887255627724,0.042409394389429214
internet_access,-0.07651159235920431,0.007556110980672389
gender,-0.15828441373507332,0.004465560837854438
sleep_quality,-0.16313984724238764,0.06376500465046654
course,-0.32249437991452085,0.009479424023739268
age,-0.3805360702196512,0.01329343061417756
study_hours_x_exam_difficulty_encoded_FE,-0.9600786601271182,0.1179094010635644
sleep_hours,-2.5272685233975625,0.4836685741187324
facility_rating,-2.6239515709052883,0.22102848370758893
class_attendance_study_hours_ratio,-2.7449796956073995,0.3703882753470013
study_hours_x_sleep_quality_encoded_FE,-11.431746617261288,2.252800745425198
class_attendance_x_sleep_quality_encoded_FE,-11.556407100407347,0.7474347622678712
class_attendance,-13.565961927368694,0.5493722965605106
study_hours,-13.99275047310251,3.3844994727462483
study_hours_x_facility_rating_encoded_FE,-14.612000575407967,2.8812229794219917
study_hours_add_sleep_hours_FE,-15.294157652434075,3.383751775274109
study_method,-22.631526057326617,0.047552576975455584
class_attendance_x_study_hours_FE,-169.29882504576958,15.457072890757987
