Feature,Importance,Std
internet_access_yes_encoded,-0.03377670061125997,0.004942352832843504
course_ba_encoded,-0.0714419480022275,0.00836650672911583
course_bca_encoded,-0.08172383768647165,0.020526356269531577
internet_access_no_encoded,-0.08177023076843797,0.008555785957759498
exam_difficulty_encoded,-0.08678869535699477,0.009745497869591436
course_diploma_encoded,-0.09824198106788316,0.0035837271530080933
gender_female_encoded,-0.11110124420473455,0.00788487986257245
study_method_group study_encoded,-0.13622743684855892,0.010810535926847584
course_bba_encoded,-0.1368883772070663,0.010174500484084076
course_b.tech_encoded,-0.141112660230381,0.021862606213436178
course_b.com_encoded,-0.14449578599535212,0.014045986559492058
gender_male_encoded,-0.1597347970278858,0.024161588575414932
course_b.sc_encoded,-0.16974039585104378,0.02074635873489524
gender_other_encoded,-0.1959779519883264,0.013084039583620605
study_method_online videos_encoded,-0.6322237802577628,0.02433316564642411
sleep_quality_encoded,-0.6325848022033537,0.024835699699412822
age,-0.8848396481118803,0.03279201153363785
study_hours_x_exam_difficulty_encoded_FE,-1.2183484694669695,0.0747226184905575
study_method_self-study_encoded,-1.5908138524986477,0.028248432568576766
study_method_mixed_encoded,-2.0128512561680227,0.03383918200482342
class_attendance_study_hours_ratio,-2.264946376227267,0.20786799705491177
facility_rating_encoded,-3.077016530873398,0.10848231042036365
sleep_hours,-3.1564977344349394,0.20740645569955152
class_attendance_x_sleep_quality_encoded_FE,-6.6112106677856675,0.38524560248983697
study_hours_add_sleep_hours_FE,-11.952928420776878,0.7743749921627855
study_hours_x_facility_rating_encoded_FE,-12.31689815711577,0.4067867347607155
study_hours_x_sleep_quality_encoded_FE,-12.54909258278777,0.5784289202996069
study_method_coaching_encoded,-15.278861421264597,0.1290148230588889
class_attendance_x_study_hours_FE,-29.526701607473274,1.1516094867521827
class_attendance,-32.3742395785989,0.44683959191314127
study_hours,-65.48175630494926,3.0981076268828622
