Feature,Importance,Std
internet_access_yes_encoded,-0.02488183080947238,0.0017254848648148183
course_bca_encoded,-0.17746900197379117,0.015984665282036258
course_ba_encoded,-0.1936422277403312,0.017316622803968965
study_method_group study_encoded,-0.20176292453769856,0.005941085267603912
internet_access_no_encoded,-0.2049445306464696,0.009073409995282703
exam_difficulty_encoded,-0.21250647092945002,0.01407014712700545
gender_female_encoded,-0.22142286818065005,0.005705685662961374
course_diploma_encoded,-0.22394819587406772,0.020169884956850914
course_bba_encoded,-0.24214736062956604,0.02168564909587266
course_b.com_encoded,-0.2466907155396984,0.0038434707976365327
course_b.tech_encoded,-0.2500063174586896,0.004814678337464249
gender_male_encoded,-0.2524739828989593,0.009827331681975065
gender_other_encoded,-0.30342182554811614,0.02413734084947374
course_b.sc_encoded,-0.32582595962174,0.02221441450128325
study_method_online videos_encoded,-0.6844807872043438,0.0280537170200195
sleep_quality_encoded,-0.8225162239244639,0.04031782544335486
age,-1.4809863747769847,0.049326746143287865
study_method_self-study_encoded,-1.6831329498787901,0.041181080526215295
study_method_mixed_encoded,-2.359038276025437,0.06321431592335888
facility_rating_encoded,-2.8350824174304683,0.2090515082448586
study_hours_x_exam_difficulty_encoded_FE,-3.4023680602537985,0.8410846174197422
sleep_hours,-5.601139230082518,0.2945015061629727
class_attendance_study_hours_ratio,-7.123188652336291,0.9127123551945576
study_hours_x_sleep_quality_encoded_FE,-10.002737460271478,0.30304997948767376
class_attendance_x_sleep_quality_encoded_FE,-11.995990860218983,0.6150672248948952
study_hours,-13.29590730531503,0.7323675576665956
study_hours_x_facility_rating_encoded_FE,-15.044256256706774,1.2835248863046353
class_attendance,-15.181201764372101,0.299664778495994
study_method_coaching_encoded,-16.02542306953041,0.15990983517940535
study_hours_add_sleep_hours_FE,-17.20977299327936,1.4632406332991212
class_attendance_x_study_hours_FE,-197.25505671039528,16.834651507397208
